ctx-lh-L_TPOJ3_ROI	L_TPOJ3
ctx-lh-L_DVT_ROI	L_DVT
ctx-lh-L_PGp_ROI	L_PGp
ctx-lh-L_IP2_ROI	L_IP2
ctx-lh-L_IP1_ROI	L_IP1
ctx-lh-L_IP0_ROI	L_IP0
ctx-lh-L_PFop_ROI	L_PFop
ctx-lh-L_PF_ROI	L_PF
ctx-lh-L_PFm_ROI	L_PFm
ctx-lh-L_PGi_ROI	L_PGi
ctx-lh-L_PGs_ROI	L_PGs
ctx-lh-L_V6A_ROI	L_V6A
ctx-lh-L_VMV1_ROI	L_VMV1
ctx-lh-L_VMV3_ROI	L_VMV3
ctx-lh-L_PHA2_ROI	L_PHA2
ctx-lh-L_V4t_ROI	L_V4t
ctx-lh-L_FST_ROI	L_FST
ctx-lh-L_V3CD_ROI	L_V3CD
ctx-lh-L_LO3_ROI	L_LO3
ctx-lh-L_VMV2_ROI	L_VMV2
ctx-lh-L_31pd_ROI	L_31pd
ctx-lh-L_31a_ROI	L_31a
ctx-lh-L_VVC_ROI	L_VVC
ctx-lh-L_25_ROI	L_25
ctx-lh-L_s32_ROI	L_s32
ctx-lh-L_pOFC_ROI	L_pOFC
ctx-lh-L_PoI1_ROI	L_PoI1
ctx-lh-L_Ig_ROI	L_Ig
ctx-lh-L_FOP5_ROI	L_FOP5
ctx-lh-L_p10p_ROI	L_p10p
ctx-lh-L_p47r_ROI	L_p47r
ctx-lh-L_TGv_ROI	L_TGv
ctx-lh-L_MBelt_ROI	L_MBelt
ctx-lh-L_LBelt_ROI	L_LBelt
ctx-lh-L_A4_ROI	L_A4
ctx-lh-L_STSva_ROI	L_STSva
ctx-lh-L_TE1m_ROI	L_TE1m
ctx-lh-L_PI_ROI	L_PI
ctx-lh-L_a32pr_ROI	L_a32pr
ctx-lh-L_p24_ROI	L_p24
ctx-rh-R_V1_ROI	R_V1
ctx-rh-R_MST_ROI	R_MST
ctx-rh-R_V6_ROI	R_V6
ctx-rh-R_V2_ROI	R_V2
ctx-rh-R_V3_ROI	R_V3
ctx-rh-R_V4_ROI	R_V4
ctx-rh-R_V8_ROI	R_V8
ctx-rh-R_4_ROI	R_4
